dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg,doc_kgday_fire,doc_kgday_nofire,doc_kgday_%chg,doc_mgL_fire,doc_mgL_nofire,doc_mgL_%chg
2014-01-01,2.61,2.61,0,17.73,17.73,0,78.64,78.64,0,22.5,22.5,0,0.0997765006385696,0.0997765006385696,0,147.9,147.9,0,0.655864197530864,0.655864197530864,0
2014-01-02,2.576,2.576,0,17.28,17.28,0,77.62,77.62,0,19.83,19.83,0,0.0890970065562457,0.0890970065562457,0,107.6,107.6,0,0.483451230733839,0.483451230733839,0
2014-01-03,8.503,8.503,0,93.85,93.85,0,127.7,127.7,0,29.99,29.99,0,0.0408216490040552,0.0408216490040552,0,115.9,115.9,0,0.157760224060353,0.157760224060353,0
2014-01-04,2.628,2.628,0,17.98,17.98,0,79.18,79.18,0,19.89,19.89,0,0.0875983003551497,0.0875983003551497,0,70.34,70.34,0,0.309787051130278,0.309787051130278,0
2014-01-05,2.58,2.58,0,17.33,17.33,0,77.74,77.74,0,17.49,17.49,0,0.0784614556416882,0.0784614556416882,0,52.09,52.09,0,0.233679658340511,0.233679658340511,0
2014-01-06,2.536,2.536,0,16.74,16.74,0,76.41,76.41,0,15.48,15.48,0,0.070649316508938,0.070649316508938,0,38.69,38.69,0,0.176577652178993,0.176577652178993,0
2014-01-07,3.524,3.524,0,28.28,28.28,0,92.88,92.88,0,17.37,17.37,0,0.0570492811199395,0.0570492811199395,0,34.65,34.65,0,0.113802970109724,0.113802970109724,0
2014-01-08,2.58,2.58,0,17.32,17.32,0,77.73,77.73,0,14.9,14.9,0,0.066842520815389,0.066842520815389,0,28.65,28.65,0,0.128526055124892,0.128526055124892,0
2014-01-09,2.498,2.498,0,16.24,16.24,0,75.27,75.27,0,13.36,13.36,0,0.061901372950212,0.061901372950212,0,21.68,21.68,0,0.100450730955134,0.100450730955134,0
2014-01-10,4.494,4.494,0,40.86,40.86,0,105.2,105.2,0,194.1,194.1,0,0.499894921623894,0.499894921623894,0,856.2,856.2,0,2.20510062799782,2.20510062799782,0
2014-01-11,2.451,2.451,0,15.65,15.65,0,73.88,73.88,0,12.38,12.38,0,0.0584606434259637,0.0584606434259637,0,32.99,32.99,0,0.155784864832192,0.155784864832192,0
