dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg,doc_kgday_fire,doc_kgday_nofire,doc_kgday_%chg,doc_mgL_fire,doc_mgL_nofire,doc_mgL_%chg
2014-01-01,2.512,2.512,0,16.43,16.43,0,75.7,75.7,0,26.04,26.04,0,0.119979653220099,0.119979653220099,0,193.1,193.1,0,0.889710869308799,0.889710869308799,0
2014-01-02,2.468,2.468,0,15.86,15.86,0,74.37,74.37,0,22.46,22.46,0,0.105329701662765,0.105329701662765,0,143.9,143.9,0,0.674841677171499,0.674841677171499,0
2014-01-03,8.423,8.423,0,99.21,99.21,0,136.3,136.3,0,34.28,34.28,0,0.0471042691747904,0.0471042691747904,0,158.8,158.8,0,0.218207641334793,0.218207641334793,0
2014-01-04,2.531,2.531,0,16.68,16.68,0,76.28,76.28,0,22.72,22.72,0,0.103896864070708,0.103896864070708,0,97.42,97.42,0,0.445494388106004,0.445494388106004,0
2014-01-05,2.474,2.474,0,15.93,15.93,0,74.54,74.54,0,19.53,19.53,0,0.0913668822419833,0.0913668822419833,0,74.16,74.16,0,0.346941525195365,0.346941525195365,0
2014-01-06,2.421,2.421,0,15.27,15.27,0,72.97,72.97,0,16.9,16.9,0,0.0807938256306699,0.0807938256306699,0,56.77,56.77,0,0.27140032432267,0.27140032432267,0
2014-01-07,3.416,3.416,0,26.57,26.57,0,90.03,90.03,0,19.15,19.15,0,0.0648839339925406,0.0648839339925406,0,51.76,51.76,0,0.17537297250412,0.17537297250412,0
2014-01-08,2.469,2.469,0,15.87,15.87,0,74.39,74.39,0,16.29,16.29,0,0.0763635749966248,0.0763635749966248,0,42.89,42.89,0,0.201057933186325,0.201057933186325,0
2014-01-09,2.382,2.382,0,14.77,14.77,0,71.77,71.77,0,14.32,14.32,0,0.0695804956930062,0.0695804956930062,0,33.5,33.5,0,0.162775600957801,0.162775600957801,0
2014-01-10,4.293,4.293,0,37.29,37.29,0,100.5,100.5,0,186.6,186.6,0,0.503079949271424,0.503079949271424,0,872.7,872.7,0,2.35282889458291,2.35282889458291,0
2014-01-11,2.328,2.328,0,16.47,16.47,0,81.89,81.89,0,12.67,12.67,0,0.0629912021127657,0.0629912021127657,0,39.84,39.84,0,0.19807178312333,0.19807178312333,0
2014-01-12,2.695,2.695,0,18.92,18.92,0,81.23,81.23,0,111.3,111.3,0,0.477994227994228,0.477994227994228,0,192,192,0,0.824572253143682,0.824572253143682,0
2014-01-13,4.668,4.668,0,39.66,39.66,0,98.34,98.34,0,323.7,323.7,0,0.80259806721889,0.80259806721889,0,121.9,121.9,0,0.302244993493922,0.302244993493922,0
2014-01-14,5.059,5.059,0,46.58,46.58,0,106.6,106.6,0,240.6,240.6,0,0.550449144538885,0.550449144538885,0,93.82,93.82,0,0.214643136910383,0.214643136910383,0
2014-01-15,11.42,11.42,0,148.1,148.1,0,150,150,0,184.9,184.9,0,0.187394596873581,0.187394596873581,0,138.2,138.2,0,0.1400645391451,0.1400645391451,0
2014-01-16,20.11,20.11,0,332.8,332.8,0,191.6,191.6,0,147.1,147.1,0,0.0846616755990202,0.0846616755990202,0,804.8,804.8,0,0.463193178260309,0.463193178260309,0
2014-01-17,37.21,37.21,0,780.2,780.2,0,242.7,242.7,0,125.8,125.8,0,0.0391297640021101,0.0391297640021101,0,1621,1621,0,0.504207849343566,0.504207849343566,0
2014-01-18,25.42,25.42,0,449.4,449.4,0,204.6,204.6,0,270.5,270.5,0,0.123162353935367,0.123162353935367,0,6158,6158,0,2.80382172101291,2.80382172101291,0
2014-01-19,7.605,7.605,0,80.88,80.88,0,123.1,123.1,0,205.6,205.6,0,0.312903304356296,0.312903304356296,0,4221,4221,0,6.42395353933815,6.42395353933815,0
2014-01-20,6.237,6.237,0,64.34,64.34,0,119.4,119.4,0,158.8,158.8,0,0.294687023082085,0.294687023082085,0,3044,3044,0,5.64878651298404,5.64878651298404,0
2014-01-21,5.253,5.253,0,50.23,50.23,0,110.7,110.7,0,123.8,123.8,0,0.272771819982937,0.272771819982937,0,2197,2197,0,4.84070830777475,4.84070830777475,0
2014-01-22,4.561,4.561,0,42.09,42.09,0,106.8,106.8,0,98.44,98.44,0,0.249803080870829,0.249803080870829,0,1590,1590,0,4.03481205388682,4.03481205388682,0
2014-01-23,4.076,4.076,0,33.61,33.61,0,95.44,95.44,0,79.93,79.93,0,0.226966570348563,0.226966570348563,0,1162,1162,0,3.2995765638062,3.2995765638062,0
2014-01-24,3.7,3.7,0,31.19,31.19,0,97.55,97.55,0,64.92,64.92,0,0.203078078078078,0.203078078078078,0,849.3,849.3,0,2.65671921921922,2.65671921921922,0
2014-01-25,3.465,3.465,0,27.34,27.34,0,91.33,91.33,0,54.88,54.88,0,0.183314627759072,0.183314627759072,0,627.8,627.8,0,2.09702848591737,2.09702848591737,0
2014-01-26,3.295,3.295,0,24.73,24.73,0,86.85,86.85,0,47.07,47.07,0,0.16533889731917,0.16533889731917,0,468.5,468.5,0,1.64566121508458,1.64566121508458,0
2014-01-27,3.169,3.169,0,22.87,22.87,0,83.52,83.52,0,40.86,40.86,0,0.149232144735458,0.149232144735458,0,353.1,353.1,0,1.28961992917499,1.28961992917499,0
2014-01-28,3.077,3.077,0,21.56,21.56,0,81.1,81.1,0,35.93,35.93,0,0.135149977732038,0.135149977732038,0,270.3,270.3,0,1.01672805402087,1.01672805402087,0
2014-01-29,3.023,3.023,0,20.81,20.81,0,79.68,79.68,0,32.41,32.41,0,0.124087244704182,0.124087244704182,0,211.4,211.4,0,0.809381164161184,0.809381164161184,0
2014-01-30,2.976,2.976,0,23.06,23.06,0,89.68,89.68,0,29.46,29.46,0,0.114573999402628,0.114573999402628,0,167.2,167.2,0,0.650263839107925,0.650263839107925,0
2014-01-31,18.21,18.21,0,286,286,0,181.8,181.8,0,281.7,281.7,0,0.179045396302398,0.179045396302398,0,5220,5220,0,3.31777411678565,3.31777411678565,0
2014-02-01,3.038,3.038,0,21.03,21.03,0,80.1,80.1,0,82,82,0,0.312400946041499,0.312400946041499,0,154.6,154.6,0,0.588990076317265,0.588990076317265,0
2014-02-02,2.947,2.947,0,22.62,22.62,0,88.82,88.82,0,64.98,64.98,0,0.255203031331297,0.255203031331297,0,90.74,90.74,0,0.356373084995413,0.356373084995413,0
2014-02-03,2.908,2.908,0,22.03,22.03,0,87.67,87.67,0,53.2,53.2,0,0.211740282235468,0.211740282235468,0,71.7,71.7,0,0.285371771358704,0.285371771358704,0
2014-02-04,2.877,2.877,0,21.55,21.55,0,86.69,86.69,0,43.75,43.75,0,0.176004776065603,0.176004776065603,0,58.67,58.67,0,0.236027433411862,0.236027433411862,0
2014-02-05,2.848,2.848,0,21.12,21.12,0,85.84,85.84,0,36.69,36.69,0,0.149105610174782,0.149105610174782,0,48.73,48.73,0,0.19803533343737,0.19803533343737,0
2014-02-06,2.822,2.822,0,20.74,20.74,0,85.05,85.05,0,31.2,31.2,0,0.127962831719033,0.127962831719033,0,40.91,40.91,0,0.16778716171877,0.16778716171877,0
2014-02-07,2.809,2.809,0,20.54,20.54,0,84.63,84.63,0,27.37,27.37,0,0.112774085940693,0.112774085940693,0,34.79,34.79,0,0.143347111796738,0.143347111796738,0
2014-02-08,2.782,2.782,0,20.15,20.15,0,83.83,83.83,0,23.68,23.68,0,0.0985169209468275,0.0985169209468275,0,29.73,29.73,0,0.123686995766435,0.123686995766435,0
