dates,flow_m3s_fire,flow_m3s_nofire,flow_m3s_%chg,sed_kgday_fire,sed_kgday_nofire,sed_kgday_%chg,sed_mgL_fire,sed_mgL_nofire,sed_mgL_%chg,nit_kgday_fire,nit_kgday_nofire,nit_kgday_%chg,nit_mgL_fire,nit_mgL_nofire,nit_mgL_%chg,doc_kgday_fire,doc_kgday_nofire,doc_kgday_%chg,doc_mgL_fire,doc_mgL_nofire,doc_mgL_%chg
2014-01-01,2.918,2.918,0,14.3,14.3,0,56.71,56.71,0,14.77,14.77,0,0.0585843297032468,0.0585843297032468,0,13.91,13.91,0,0.0551731906683929,0.0551731906683929,0
2014-01-02,2.909,2.909,0,14.16,14.16,0,56.35,56.35,0,13.91,13.91,0,0.0553438880613167,0.0553438880613167,0,9.946,9.946,0,0.0395722725131457,0.0395722725131457,0
2014-01-03,8.761,8.761,0,69.16,69.16,0,91.36,91.36,0,20.48,20.48,0,0.0270559339158814,0.0270559339158814,0,44.1,44.1,0,0.0582600920747251,0.0582600920747251,0
2014-01-04,2.938,2.938,0,14.49,14.49,0,57.09,57.09,0,13.61,13.61,0,0.0536157754078108,0.0536157754078108,0,8.207,8.207,0,0.0323309822756725,0.0323309822756725,0
2014-01-05,2.907,2.907,0,14.15,14.15,0,56.36,56.36,0,12.78,12.78,0,0.0508829262699232,0.0508829262699232,0,5.79,5.79,0,0.0230525933570309,0.0230525933570309,0
2014-01-06,2.879,2.879,0,14.93,14.93,0,60.02,60.02,0,12.01,12.01,0,0.0482822610731607,0.0482822610731607,0,4.143,4.143,0,0.0166555709930146,0.0166555709930146,0
2014-01-07,3.852,3.852,0,22.01,22.01,0,66.14,66.14,0,13.18,13.18,0,0.039601842236837,0.039601842236837,0,10.11,10.11,0,0.0303774374062536,0.0303774374062536,0
2014-01-08,2.914,2.914,0,14.22,14.22,0,56.49,56.49,0,11.52,11.52,0,0.0457561198810341,0.0457561198810341,0,5.395,5.395,0,0.021428321767203,0.021428321767203,0
2014-01-09,2.843,2.843,0,14.55,14.55,0,59.22,59.22,0,10.86,10.86,0,0.0442119044827451,0.0442119044827451,0,3.657,3.657,0,0.0148879313713995,0.0148879313713995,0
2014-01-10,4.994,4.994,0,41.78,41.78,0,96.81,96.81,0,194.7,194.7,0,0.451235927557513,0.451235927557513,0,811.6,811.6,0,1.88096085673178,1.88096085673178,0
2014-01-11,2.82,2.82,0,18.38,18.38,0,75.44,75.44,0,11.96,11.96,0,0.049087207775151,0.049087207775151,0,30.86,30.86,0,0.126658129760967,0.126658129760967,0
2014-01-12,3.132,3.132,0,22.35,22.35,0,82.57,82.57,0,92.69,92.69,0,0.34252903126626,0.34252903126626,0,75.72,75.72,0,0.279817652901944,0.279817652901944,0
2014-01-13,3.812,3.812,0,29.41,29.41,0,89.28,89.28,0,206.8,206.8,0,0.627890482297618,0.627890482297618,0,20.1,20.1,0,0.0610280401072636,0.0610280401072636,0
2014-01-14,4.532,4.532,0,27.75,27.75,0,70.86,70.86,0,152.1,152.1,0,0.388441453368638,0.388441453368638,0,18.21,18.21,0,0.0465057124644503,0.0465057124644503,0
2014-01-15,11,11,0,94.46,94.46,0,99.39,99.39,0,114,114,0,0.119949494949495,0.119949494949495,0,54.51,54.51,0,0.057354797979798,0.057354797979798,0
2014-01-16,19.66,19.66,0,213.9,213.9,0,126,126,0,88.02,88.02,0,0.0518184130213632,0.0518184130213632,0,170.7,170.7,0,0.100493105007347,0.100493105007347,0
2014-01-17,36.57,36.57,0,507.9,507.9,0,160.8,160.8,0,70.56,70.56,0,0.0223316014948501,0.0223316014948501,0,400.3,400.3,0,0.12669132764156,0.12669132764156,0
2014-01-18,21.19,21.19,0,238.2,238.2,0,130.1,130.1,0,92.24,92.24,0,0.0503819062101271,0.0503819062101271,0,2504,2504,0,1.36769615297223,1.36769615297223,0
2014-01-19,4.681,4.681,0,28.97,28.97,0,71.65,71.65,0,70.7,70.7,0,0.174810304857303,0.174810304857303,0,1637,1637,0,4.04758796395199,4.04758796395199,0
2014-01-20,4.21,4.21,0,24.65,24.65,0,67.78,67.78,0,56.63,56.63,0,0.155686416820621,0.155686416820621,0,1164,1164,0,3.20005278437582,3.20005278437582,0
2014-01-21,3.892,3.892,0,22.36,22.36,0,66.51,66.51,0,45.62,45.62,0,0.135665277301968,0.135665277301968,0,824.8,824.8,0,2.45279966502988,2.45279966502988,0
2014-01-22,3.68,3.68,0,19.99,19.99,0,62.88,62.88,0,37.76,37.76,0,0.118760064412238,0.118760064412238,0,583.4,583.4,0,1.83486815619968,1.83486815619968,0
2014-01-23,3.541,3.541,0,19.65,19.65,0,64.23,64.23,0,32.1,32.1,0,0.104921710753397,0.104921710753397,0,415.4,415.4,0,1.35777192046607,1.35777192046607,0
2014-01-24,3.419,3.419,0,18.47,18.47,0,62.52,62.52,0,27.02,27.02,0,0.0914686988831476,0.0914686988831476,0,293.6,293.6,0,0.993901184015252,0.993901184015252,0
2014-01-25,3.367,3.367,0,17.85,17.85,0,61.36,61.36,0,24.04,24.04,0,0.0826375826375826,0.0826375826375826,0,208.8,208.8,0,0.717750717750718,0.717750717750718,0
2014-01-26,3.333,3.333,0,17.45,17.45,0,60.62,60.62,0,21.66,21.66,0,0.0752158549188252,0.0752158549188252,0,149,149,0,0.517412852396351,0.517412852396351,0
2014-01-27,3.308,3.308,0,17.19,17.19,0,60.16,60.16,0,19.67,19.67,0,0.0688216556943885,0.0688216556943885,0,106.5,106.5,0,0.37262360607282,0.37262360607282,0
2014-01-28,3.291,3.291,0,17.03,17.03,0,59.9,59.9,0,18.07,18.07,0,0.0635501423635729,0.0635501423635729,0,76.7,76.7,0,0.269745208593583,0.269745208593583,0
2014-01-29,3.296,3.296,0,17,17,0,59.72,59.72,0,17.02,17.02,0,0.0597666082344481,0.0597666082344481,0,55.39,55.39,0,0.194504843131967,0.194504843131967,0
2014-01-30,3.292,3.292,0,17.18,17.18,0,60.38,60.38,0,16.18,16.18,0,0.0568859412267675,0.0568859412267675,0,41.58,41.58,0,0.14618772782503,0.14618772782503,0
2014-01-31,20.49,20.49,0,321.6,321.6,0,181.6,181.6,0,241.5,241.5,0,0.136414782278618,0.136414782278618,0,5086,5086,0,2.87290096343293,2.87290096343293,0
2014-02-01,3.434,3.434,0,24.23,24.23,0,81.67,81.67,0,43.76,43.76,0,0.14749023922,0.14749023922,0,110.2,110.2,0,0.37142194611618,0.37142194611618,0
2014-02-02,3.313,3.313,0,24.99,24.99,0,87.32,87.32,0,33.78,33.78,0,0.118011537042627,0.118011537042627,0,26.68,26.68,0,0.0932074543604879,0.0932074543604879,0
2014-02-03,3.293,3.293,0,24.7,24.7,0,86.82,86.82,0,28.05,28.05,0,0.0985887572966225,0.0985887572966225,0,14.33,14.33,0,0.0503663776135686,0.0503663776135686,0
2014-02-04,3.281,3.281,0,24.51,24.51,0,86.47,86.47,0,23.45,23.45,0,0.0827223520381094,0.0827223520381094,0,9.602,9.602,0,0.0338720692652421,0.0338720692652421,0
2014-02-05,3.268,3.268,0,24.32,24.32,0,86.14,86.14,0,20.09,20.09,0,0.0711515141212204,0.0711515141212204,0,6.957,6.957,0,0.0246391778865769,0.0246391778865769,0
2014-02-06,3.254,3.254,0,24.12,24.12,0,85.78,85.78,0,17.49,17.49,0,0.0622097589291812,0.0622097589291812,0,5.209,5.209,0,0.018527766395775,0.018527766395775,0
