scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
HRU_SLP_1_fire,313,9.55303816939891,173.991053360656,114.355882513661,713.818923139071,419.812282703798,161.944051857923,12.878273489071,1268.38758153005,825382497.836066,0.253391148047028,0.145893925888262,0.351708631452589,0.00670404067440127,1.14301932802875,114.355773782269,mean
HRU_SLP_1_nofire,313,9.3797824863388,165.788351284153,113.874095628415,576.911893624044,189.968146860492,125.80156773224,7.37722597540984,492.651103469945,810413206.819672,0.219785044191458,0.0767174721432785,0.335004509491476,0.00379950762544958,0.490192004380396,113.877520358934,mean
HRU_SLP_1_fire,313,0.03016,0.02246,8.621,0,0,0.03409,0,0.01221,2605824,0,0,0.00079805862699268,0,0.0002746318402884,8.61915463208567,min
HRU_SLP_1_nofire,313,0.0307,0.02317,8.68,0,0,0.03489,0,0.01228,2652480,0,0,0.00081645662038909,0,0.00027601839952675,8.67882808181316,min
HRU_SLP_1_fire,313,207.7,8537,475.7,78150,48410,3569,851.6,32530,17945280000,18.6344023256879,5.99686779898976,11.0672558170324,0.176628840018353,21.9246031746032,475.723978672944,max
HRU_SLP_1_nofire,313,173.4,6646,443.6,51910,15070,2379,456.1,11040,14981760000,14.2304638840641,4.1312481358668,5.8094981396922,0.125033993017176,3.92796919150488,443.606091674142,max
HRU_SLP_1_fire,313,4.631,41.21,104.05,0.01293,0.010736,32.09,0.0338,69.215,400118400,2.8882265501617e-05,2.02473959096384e-05,0.0664196000975185,0.0001556706629042,0.170144379407974,104.009645621274,median
HRU_SLP_1_nofire,313,4.7995,42.225,105.85,0.001405,0.00030315,33.11,0.027905,53.83,414676800,4.17776428730584e-06,2.01237925228555e-06,0.0656266229904464,7.10666334365665e-05,0.133353027067107,105.810280913146,median
HRU_SLP_1_fire,313,16.6478350219732,548.424871969859,63.9256906554415,4569.62305465848,2968.62785439244,383.207995805973,64.0841050436851,3822.84135160147,1438372945.89848,1.25445036666298,0.549437603989275,0.939709927953004,0.019941348062758,2.69123516168626,63.9269023605687,standard deviation
HRU_SLP_1_nofire,313,15.4525989465301,469.061727856886,62.5024471385393,3257.34167233177,977.420451230645,251.587564460288,32.651318016629,1099.84640793985,1335104548.9802,1.04857131302008,0.34022566423326,0.799073187402398,0.012546836167014,0.790783487548654,62.5048732260531,standard deviation
HRU_SLP_1_fire,313,40.115,878.925,253.6,3121.75,1462.75,891.375,65.505,7478.75,3465936000,1.10186296754666,0.828319547557687,1.20396778376721,0.0408686101218974,6.22555659576798,253.589394375594,95% Quantile
HRU_SLP_1_nofire,313,39.92,850.975,246.7,3035,1128.5,575.6,48.96,2012.25,3449088000,0.951515286636169,0.379225301154583,1.02668031801103,0.0172990843521391,2.20732852597145,246.72178128374,95% Quantile
HRU_SLP_1_fire,313,9.182,109.475,136.25,11.4375,19.6,122.65,1.584,796.025,793324800,0.0253504255532746,0.0229346758503235,0.308635864439333,0.00392938678273573,0.862212528501803,136.206869067245,75% Quantile
HRU_SLP_1_nofire,313,8.60525,97.8425,133.725,6.09525,3.13125,130.1,0.484075,545.925,743493600,0.0105016126586876,0.00634740908518836,0.292894137453655,0.00150204669054071,0.559788067742666,133.748124850664,75% Quantile
HRU_SLP_1_fire,313,2.59225,17.5225,79.005,0,0,6.8395,0,1.9745,223970400,0,0,0.0119141033339951,0,0.00732511929231633,78.9777008832891,25% Quantile
HRU_SLP_1_nofire,313,2.5765,17.3675,79.0175,0,0,7.464,0,2.092,222609600,0,0,0.0112584198415706,0,0.00722485137983932,79.0276362250373,25% Quantile
HRU_SLP_1_fire,313,0.154875,0.260025,23.5925,0,0,0.1351,0,0.0357775,13381200,0,0,0.00139368516480688,0,0.000367006612691567,23.5979335197519,5% Quantile
HRU_SLP_1_nofire,313,0.171975,0.28315,23.9925,0,0,0.139425,0,0.03606,14858640,0,0,0.00141655034537851,0,0.000368662512473433,24.0022608902914,5% Quantile
