scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
MOD,313,9.63878267759563,173.92695863388,115.366612021858,768.930928197951,409.902015687842,123.869345956284,13.5098287704918,987.111388773224,832790823.344262,0.259020907097539,0.149331599004213,0.277758797789512,0.00703840540706101,0.908253540158113,115.366966969015,mean
base_unburned,313,9.29771139344262,161.440586775956,114.573442622951,515.93524325224,175.828715136694,83.2057649726776,7.14630279234973,342.97308647541,803322264.393443,0.170485628778495,0.0629338827668197,0.25199064360765,0.00340853039728415,0.392112229806557,114.571066803279,mean
MOD,313,0.05673,0.06979,12.67,0,0,0.03389,0,0.007876,4901472,0,0,0.00061673800372699,0,0.00014332925692988,12.6700262209112,min
base_unburned,313,0.05701,0.07043,12.72,0,0,0.03448,0,0.007917,4925664,0,0,0.0006267851,0,0.000143917,12.71854,min
MOD,313,219.3,9198,485.4,45550,41140,3546,795.5,39700,18947520000,9.71826684622234,4.40150561847363,12.6442544507776,0.123467521763767,12.7004233343398,485.446116431069,max
base_unburned,313,168.7,6456,442.9,28410,10150,1342,326.2,12890,14575680000,7.643409,2.73075,5.070358,0.08776065,3.738845,442.9296,max
MOD,313,5.1435,48.15,107.25,0.03061,0.01636,25.855,0.036265,48.21,444398400,6.84063936709927e-05,5.44971576092358e-05,0.0510674801053248,0.000272039685617435,0.132615480502076,107.244137032421,median
base_unburned,313,5.287,50.4,108,0.0034865,0.001965,26.56,0.03366,38.145,456796800,1.3461825e-05,7.548546e-06,0.04768453,8.258842e-05,0.1024061,107.98555,median
MOD,313,16.7326081392622,569.21880409696,63.0606170826636,3749.23737110001,2517.29234746718,324.569192086961,57.8576365088187,3318.5372467558,1445697343.23225,0.864895837934261,0.469787263845727,0.854165483700655,0.0177457956662209,2.12829448663719,63.0615615612044,standard deviation
base_unburned,313,14.8954421099637,451.300607120938,61.4550383204273,2282.23381495338,767.794723616269,145.925533306171,26.7183595555505,973.478640130309,1286966198.30087,0.625559430014677,0.233976443436153,0.616326147810318,0.00921606418375612,0.695215698522037,61.4521438196269,standard deviation
MOD,313,39.7475,843.425,245.65,3846.75,1573.25,607.5,70.5575,5963,3434184000,1.40196842858699,0.804671958062486,0.9979026489879,0.0407777507280502,5.2131540692929,245.655585427593,95% Quantile
base_unburned,313,38.215,803.85,243.475,3279.5,1180.75,375.3,53.43,1412.25,3301776000,1.1704225,0.3839762,0.939558275,0.01529266,1.8872325,243.456625,95% Quantile
MOD,313,9.35275,111.95,137.2,32.5075,26.2025,95.895,2.32275,444.55,808077600,0.0607918973683491,0.0448595726986237,0.221484433355745,0.00459919583732859,0.675448076277067,137.196790250895,75% Quantile
base_unburned,313,8.59125,99.5775,134.3,6.3495,3.08475,93.65,0.530375,317.5,742284000,0.013721225,0.00755728325,0.227477375,0.0025943195,0.37782445,134.320725,75% Quantile
MOD,313,2.67575,18.7125,80.5,0,0,6.24025,0,1.4275,231184800,0,0,0.010024757830788,0,0.00423074808716299,80.5006147583676,25% Quantile
base_unburned,313,2.6775,18.7325,81.0725,0,0,6.8315,0,1.44025,231336000,0,0,0.0102324825,0,0.00395118425,81.070165,25% Quantile
MOD,313,0.167975,0.263625,19.12,0,0,0.13985,0,0.022355,14513040,0,0,0.00143757733604758,0,0.000181312004801525,19.1215540794626,5% Quantile
base_unburned,313,0.17275,0.279225,20.9325,0,0,0.159225,0,0.0224625,14925600,0,0,0.00145106475,0,0.000181994125,20.9310275,5% Quantile
