scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_15_HIGH,343,4.14743590797546,12.7294111468303,20.6416503067485,1528.00024812342,428.28881197789,29.6386496523517,19.2878359672802,2.37827324979952,358338462.44908,2.27801381464882,0.541735777001207,0.122466725667469,0.0542980068716186,0.00279923073768011,21.3851249142534,mean
base_unburned,343,3.87721617177914,11.4502526392638,20.3168302658487,101.899000166605,35.7053491089507,4.96091627811861,3.84960237832311,0.17381683575523,334991477.241718,0.0920210428871165,0.0326012013193901,0.0205566006967823,0.00521589473094637,0.000130974631072327,21.0929710370414,mean
PER_15_HIGH,343,0,0,0,0,0,0,0,0,0,0,0,0.00093739906702154,0,5.96240179573513e-18,1.12491569718429,min
base_unburned,343,0,0,0,0,0,0,0,0,0,0,0,0.0008871336996337,0,5.54767054158782e-18,1.37061403508772,min
PER_15_HIGH,343,94.08,362.7,121.4,254100,65830,707.4,1391,428.3,8128512000,98.1113563895021,18.0126318371351,3.64416881276697,3.10317765391761,0.103955880549424,121.392874923588,max
base_unburned,343,73.34,257.3,124.4,6569,2174,38.58,150.6,12.56,6336576000,1.91251421377518,0.708362099306909,0.200688389043026,0.0330918435869621,0.00210214631592723,124.370532813515,max
PER_15_HIGH,343,2.522,4.479,20.9,0.005373,0.001585,7.095,0.04605,5.816e-08,217900800,0.00010967298526789,4.56582485688536e-05,0.0303722649467182,0.00286747852537326,8.05506489689258e-09,21.1305029434,median
base_unburned,343,2.347,4.08,20.13,0,4.225e-05,1.789,0.03711,2.416e-11,202780800,5.58159085884502e-06,4.20925837193207e-06,0.00837758228985048,0.00124958836058912,8.95570789686041e-12,20.7084933395226,median
PER_15_HIGH,343,6.8347335020022,28.8087313941053,13.4636623865507,11888.0357334773,3131.99749113024,66.7469430968043,75.4919291176219,20.0084797944759,590520974.57299,8.83954548605775,1.76258439126162,0.354329202282967,0.254009232868309,0.0100936334518831,13.1097823555761,standard deviation
base_unburned,343,5.92469239337779,23.9741816166412,13.215855464154,402.274920394543,138.377888818445,7.2231477476793,11.9136010000924,0.750794410310308,511893422.787841,0.210299829012639,0.0760801463014069,0.0258018774094749,0.0075595567011447,0.000324101898216987,12.8418141737792,standard deviation
PER_15_HIGH,343,15.954,60.7519999999999,44.232,7262.99999999998,1870.8,139.38,106.3,9.62959999999998,1378425600,10.2482393437434,2.62644437812546,0.516484417610319,0.168946472120638,0.0129456207819623,44.6917593871226,95% Quantile
base_unburned,343,14.932,55.7259999999999,42.96,627.099999999998,208.94,21.392,25.0399999999999,1.2304,1290124800,0.504823970489284,0.180235947048312,0.0688063509874497,0.0220196493186912,0.000951888333771815,43.2367130820214,95% Quantile
PER_15_HIGH,343,4.691,10.89,26.62,286.9,75.44,24.57,8.813,0.3261,405302400,0.804319402114123,0.259831169739515,0.0749374458168016,0.0233767696971943,0.000922436472679207,26.7722179240671,75% Quantile
base_unburned,343,4.556,10.47,26.44,11.5,4.051,6.351,0.7388,0.005775,393638400,0.0437177171705092,0.0152625242644435,0.0321893560362333,0.00752595269671106,2.79108077323145e-05,26.7013225371649,75% Quantile
PER_15_HIGH,343,0.4609,0.4095,10.2,0,0,0.1181,0.01873,1.58e-14,39821760,0,0,0.00769536844093784,0.00014697365561447,1.00666194674918e-15,12.2252917255238,25% Quantile
base_unburned,343,0.4501,0.4083,9.981,0,0,0.08974,0.009041,1.59e-14,38888640,0,0,0.00277200890719238,7.50409785118358e-05,9.4243129146602e-16,11.4391145471362,25% Quantile
PER_15_HIGH,343,0.00924740000000001,0.0021882,2.7046,0,0,0.034166,0,3.1988e-15,798975.360000001,0,0,0.00138229059674673,0,3.60756442117933e-17,3.99048016790946,5% Quantile
base_unburned,343,0.0069798,0.0015214,2.6748,0,0,0.030802,0,2.7588e-15,603054.72,0,0,0.00118266178601496,0,2.59441242837026e-17,4.25421632221633,5% Quantile
