scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_25_MOD,343,4.14480035439673,12.7796518093865,20.5047989775051,2885.36235721438,725.059372695878,38.8328501697342,23.2509188588957,4.01319255054105,358110750.619877,1.92902716232845,0.528835109310374,0.122902582526789,0.0406906363047724,0.00168412437022297,21.2426777150078,mean
base_unburned,343,3.87721617177914,11.4502526392638,20.3168302658487,101.899000166605,35.7053491089507,4.96091627811861,3.84960237832311,0.17381683575523,334991477.241718,0.0920210428871165,0.0326012013193901,0.0205566006967823,0.00521589473094637,0.000130974631072327,21.0929710370414,mean
PER_25_MOD,343,0,0,0,0,0,0,0,0,0,0,0,0.00089166295140436,0,8.1007781900639e-18,0.916108366925945,min
base_unburned,343,0,0,0,0,0,0,0,0,0,0,0,0.0008871336996337,0,5.54767054158782e-18,1.37061403508772,min
PER_25_MOD,343,97.44,380,128,928200,197300,1108,3765,1386,8418816000,110.253033205619,23.4355994952259,5.61197256046,1.82943273607493,0.16463122605364,127.967003261306,max
base_unburned,343,73.34,257.3,124.4,6569,2174,38.58,150.6,12.56,6336576000,1.91251421377518,0.708362099306909,0.200688389043026,0.0330918435869621,0.00210214631592723,124.370532813515,max
PER_25_MOD,343,2.455,4.308,20.36,0.2576,0.104,10.72,0.05652,7.022e-05,212112000,0.00275583744780179,0.000884239412330055,0.0424751453063241,0.00286525780145555,9.94367732409765e-07,21.0993314769968,median
base_unburned,343,2.347,4.08,20.13,0,4.225e-05,1.789,0.03711,2.416e-11,202780800,5.58159085884502e-06,4.20925837193207e-06,0.00837758228985048,0.00124958836058912,8.95570789686041e-12,20.7084933395226,median
PER_25_MOD,343,6.96852392212465,29.4822718122445,13.5571285876799,42111.4567465204,9015.20943430701,90.3920425392645,176.485155838636,62.8484602483417,602080466.87157,8.42036582464494,1.97599267794332,0.351423351731581,0.168188509523142,0.00861413422483334,13.2170620019464,standard deviation
base_unburned,343,5.92469239337779,23.9741816166412,13.215855464154,402.274920394543,138.377888818445,7.2231477476793,11.9136010000924,0.750794410310308,511893422.787841,0.210299829012639,0.0760801463014069,0.0258018774094749,0.0075595567011447,0.000324101898216987,12.8418141737792,standard deviation
PER_25_MOD,343,16.09,61.6399999999999,44.292,5754.2,1996.39999999999,216.66,109.74,7.2044,1390176000,10.8312431741113,2.80945405484283,0.548884540122482,0.162171116475938,0.00849989899991079,44.5764992052978,95% Quantile
base_unburned,343,14.932,55.7259999999999,42.96,627.099999999998,208.94,21.392,25.0399999999999,1.2304,1290124800,0.504823970489284,0.180235947048312,0.0688063509874497,0.0220196493186912,0.000951888333771815,43.2367130820214,95% Quantile
PER_25_MOD,343,4.585,10.54,26.43,110.6,42.47,26.73,4.829,0.1082,396144000,0.395845317535441,0.137891413733865,0.0949538085663145,0.0180273001870355,0.000399234759076052,26.6209000972715,75% Quantile
base_unburned,343,4.556,10.47,26.44,11.5,4.051,6.351,0.7388,0.005775,393638400,0.0437177171705092,0.0152625242644435,0.0321893560362333,0.00752595269671106,2.79108077323145e-05,26.7013225371649,75% Quantile
PER_25_MOD,343,0.4136,0.3544,9.953,0,0,0.1067,0.01904,3e-14,35735040,0,0,0.00782131344375744,0.000199009331924625,6.41055509443967e-15,11.9831792942058,25% Quantile
base_unburned,343,0.4501,0.4083,9.981,0,0,0.08974,0.009041,1.59e-14,38888640,0,0,0.00277200890719238,7.50409785118358e-05,9.4243129146602e-16,11.4391145471362,25% Quantile
PER_25_MOD,343,0.0082844,0.001869,2.6224,0,0,0.031214,0,3.1366e-15,715772.16,0,0,0.0012953245262062,0,5.04523185899519e-17,3.97359517291297,5% Quantile
base_unburned,343,0.0069798,0.0015214,2.6748,0,0,0.030802,0,2.7588e-15,603054.72,0,0,0.00118266178601496,0,2.59441242837026e-17,4.25421632221633,5% Quantile
