scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
coniferous_fire,313,4.93380217759563,68.4519708871585,85.3409344262295,777.541965063153,231.0877577879,97.5578226502732,11.378961920765,543.37008618306,426280508.144262,0.642854574744396,0.181800178340577,0.401403745131446,0.0134018514987076,0.734864889493562,87.0049818276542,mean
coniferous_nofire,313,4.83728442076503,65.318620704918,85.2397677595628,293.210747484342,102.553796626817,55.3612992622951,6.35507669945355,393.16887034153,417941373.954098,0.189610092580524,0.0705102822559887,0.314797190765135,0.00584622372340803,0.568226988208141,87.1437883585461,mean
coniferous_fire,313,0,0,0,0,0,0,0,0,0,0,0,0.00160294135400068,0,0.00031823740550155,2.19837171889232,min
coniferous_nofire,313,0,0,0,0,0,0,0,0,0,0,0,0.00162440498814501,0,0.00031954221630306,2.8124339310769,min
coniferous_fire,313,105.7,3377,369.8,77800,19450,2769,499.3,35050,9132480000,19.8788755740333,4.27330802514491,16.997753340428,0.377792043694465,5.64685055425796,369.779074249273,max
coniferous_nofire,313,87.8,2600,342.7,10830,4416,943.1,193.7,19150,7585920000,5.71839517437145,2.33171127331711,6.78045211423958,0.102276375371722,5.3856344680606,342.740234539779,max
coniferous_fire,313,2.8015,20.46,82.105,0.02356,0.01288,18.02,0.034025,35.41,242049600,0.00012552992095563,8.85783239106188e-05,0.0767032240246526,0.00043809611905936,0.197626105694251,82.4976334161638,median
coniferous_nofire,313,2.9125,21.265,84.02,0.003483,0.001757,16.405,0.02828,27.34,251640000,3.85186228291633e-05,1.7395809675513e-05,0.0632955229951674,0.000160301770397725,0.152258689967041,84.671120511194,median
coniferous_fire,313,8.55129509845418,216.508343634618,50.6267320545353,4620.58883412242,1246.19383229954,260.548146201687,40.3010037595271,2128.16081150102,738831896.506441,2.03677926407449,0.532962030634016,1.26629707527242,0.034641176812237,1.14117428578574,49.680420483761,standard deviation
coniferous_nofire,313,7.90720585129603,184.138914710271,49.9706414076692,1060.5345470268,387.957392502519,101.135122250384,20.1120336877984,1281.38580502881,683182585.551977,0.598515444849646,0.236017380264877,0.820305811021277,0.0127662103979455,0.898524261494803,48.8518282297785,standard deviation
coniferous_fire,313,21.5925,359.075,192.625,3475,957.875,498.275,62.37,2308.5,1865592000,3.2766119200353,0.911344837369322,1.34241264413574,0.0560869082972667,3.74711352438085,192.919377074155,95% Quantile
coniferous_nofire,313,20.7225,341.6,190.85,1885.25,663.95,243.525,44.5225,1982.5,1790424000,1.21493730258686,0.409175443369816,0.904317134668323,0.0294001391445213,2.34185195468577,191.759423913702,95% Quantile
coniferous_fire,313,4.45375,38.625,100.575,71.2,23.9425,62.0525,3.07175,296.075,384804000,0.263625417572741,0.0923219076599514,0.306027426380086,0.0133351062045881,0.919417558248972,101.45788218775,75% Quantile
coniferous_nofire,313,4.389,38.595,99.2675,6.21375,3.00625,59.85,0.594675,188.375,379209600,0.0297464862316947,0.0154065767763433,0.290412090008502,0.00556115580092901,0.821249904874582,100.611393820512,75% Quantile
coniferous_fire,313,1.14525,5.707,57.035,0,0,3.238,0,1.097,98949600,0,0,0.0123854465976795,0,0.00816332192611929,59.1999172450123,25% Quantile
coniferous_nofire,313,1.152,5.84275,56.6775,0,0,3.44,0,0.9992,99532800,0,0,0.0118102412671828,0,0.00710919045179229,60.743701767232,25% Quantile
coniferous_fire,313,0.04806,0.0456875,10.9975,0,0,0.072675,0,0.00951675,4152384,0,0,0.00254971983166081,0,0.000386603997811286,16.6649366028909,5% Quantile
coniferous_nofire,313,0.0508675,0.0515025,11.3875,0,0,0.0726175,0,0.00956525,4394952,0,0,0.00256903689860136,0,0.00038793082293023,17.9191939609319,5% Quantile
