scenario,peak_flow_fire,peak_flow_nofire,peak_sed_fire,peak_sed_nofire,peak_nit_fire,peak_nit_nofire,peak_doc_fire,peak_doc_nofire,percent,severity
100_HIGH,401.5,168.7,500,442.9,35.6247876316684,5.07035766469729,48.4632106103131,3.73884475826223,100,HIGH
100_LOW,232.4,168.7,497.4,442.9,14.5190002820079,5.07035766469729,38.7652207001522,3.73884475826223,100,LOW
100_MOD,332.8,168.7,500,442.9,18.5992538608364,5.07035766469729,87.8585765353962,3.73884475826223,100,MOD
10_HIGH,203.4,168.7,471.4,442.9,6.84346898338668,5.07035766469729,10.7773081052067,3.73884475826223,10,HIGH
10_LOW,177.3,168.7,447.6,442.9,6.50206563818108,5.07035766469729,20.4882254086733,3.73884475826223,10,LOW
10_MOD,193.3,168.7,464.3,442.9,8.22418651785219,5.07035766469729,14.0368679181465,3.73884475826223,10,MOD
15_HIGH,213.7,168.7,483.9,442.9,7.80812634432364,5.07035766469729,11.2300387057896,3.73884475826223,15,HIGH
15_LOW,179.5,168.7,453.1,442.9,7.26792720594374,5.07035766469729,20.0981332310446,3.73884475826223,15,LOW
15_MOD,200.1,168.7,469.3,442.9,9.38170121515368,5.07035766469729,13.6358677866259,3.73884475826223,15,MOD
20_HIGH,222,168.7,491.4,442.9,8.66670241670242,5.07035766469729,11.2917795844625,3.73884475826223,20,HIGH
20_LOW,181.3,168.7,452.1,442.9,8.123705586487,5.07035766469729,19.8292951772639,3.73884475826223,20,LOW
20_MOD,205.4,168.7,475.9,442.9,10.7123431491601,5.07035766469729,13.266962501921,3.73884475826223,20,MOD
25_HIGH,230.1,168.7,498.1,442.9,9.39573360208281,5.07035766469729,11.3485832444832,3.73884475826223,25,HIGH
25_LOW,183,168.7,456.2,442.9,8.8483550736026,5.07035766469729,19.6214505828604,3.73884475826223,25,LOW
25_MOD,210.2,168.7,481.5,442.9,11.7117696017233,5.07035766469729,13.07570045095,3.73884475826223,25,MOD
30_HIGH,237.8,168.7,500,442.9,9.95455162121829,5.07035766469729,11.2413557850343,3.73884475826223,30,HIGH
30_LOW,184.8,168.7,455,442.9,9.220706,5.07035766469729,19.28169,3.73884475826223,30,LOW
30_MOD,215.2,168.7,481.7,442.9,12.3986711358342,5.07035766469729,12.9129487996601,3.73884475826223,30,MOD
40_HIGH,253.3,168.7,500,442.9,10.8040733040733,5.07035766469729,11.1078836388674,3.73884475826223,40,HIGH
40_LOW,188.4,168.7,458.1,442.9,9.76635865073999,5.07035766469729,18.7479454306377,3.73884475826223,40,LOW
40_MOD,225.9,168.7,494.3,442.9,13.3974358974359,5.07035766469729,12.8172298651832,3.73884475826223,40,MOD
45_HIGH,261.4,168.7,500,442.9,11.0773665354728,5.07035766469729,11.0243055555556,3.73884475826223,45,HIGH
45_LOW,189.9,168.7,461.9,442.9,10.0597092419522,5.07035766469729,18.4983122996217,3.73884475826223,45,LOW
45_MOD,231,168.7,499.9,442.9,13.879080351538,5.07035766469729,12.7757222253133,3.73884475826223,45,MOD
50_HIGH,272.9,168.7,500,442.9,11.7904998494429,5.07035766469729,11.0540754753335,3.73884475826223,50,HIGH
50_LOW,192.6,168.7,462.7,442.9,10.2989006504885,5.07035766469729,20.3947417379204,3.73884475826223,50,LOW
50_MOD,238.9,168.7,500,442.9,14.2575245034261,5.07035766469729,13.6558512931689,3.73884475826223,50,MOD
60_HIGH,297.9,168.7,500,442.9,13.7008211704491,5.07035766469729,11.7698351933056,3.73884475826223,60,HIGH
60_LOW,198.4,168.7,471,442.9,11.0024277326107,5.07035766469729,25.4412276125891,3.73884475826223,60,LOW
60_MOD,256.9,168.7,500,442.9,15.2257197153485,5.07035766469729,16.7789289605962,3.73884475826223,60,MOD
75_HIGH,319.2,168.7,500,442.9,16.3704628308765,5.07035766469729,12.1194019043481,3.73884475826223,75,HIGH
75_LOW,202.5,168.7,474.8,442.9,11.803530936184,5.07035766469729,26.9364074743822,3.73884475826223,75,LOW
75_MOD,270.4,168.7,500,442.9,16.3409221076747,5.07035766469729,17.9763739085773,3.73884475826223,75,MOD
90_HIGH,354.9,168.7,500,442.9,22.6257639868359,5.07035766469729,17.3234105440946,3.73884475826223,90,HIGH
90_LOW,212.5,168.7,481.1,442.9,13.2227067183463,5.07035766469729,27.0360800076562,3.73884475826223,90,LOW
90_MOD,297.1,168.7,500,442.9,17.4411689357342,5.07035766469729,36.6998915107133,3.73884475826223,90,MOD
