scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_45_LOW,313,8.25063176229508,139.971505614754,107.356987704918,449.944141701803,218.176399559775,135.52406227459,8.05194021516393,640.084153977459,712854584.262295,0.160056331564029,0.0862184348911354,0.385466209046874,0.00449108362524598,0.706566056490459,107.357472098644,mean
base_unburned,313,8.17139010245902,136.005227581967,107.506352459016,403.700001447992,138.94265958459,105.215719344262,5.73147543647541,366.933314612705,706008104.852459,0.143033707561732,0.0540196680012061,0.358772501168337,0.00322164317059338,0.468438094494704,107.50483054595,mean
PER_45_LOW,313,0.05666,0.06964,12.66,0,0,0.03086,0,0.001904,4895424,0,0,0.00061376285805868,0,0.00012911806834458,12.6617086945101,min
base_unburned,313,0.05701,0.07043,12.72,0,0,0.03133,0,0.001929,4925664,0,0,0.00062678510141993,0,0.00013003287190167,12.7185439954142,min
PER_45_LOW,313,189.9,7581,461.9,29270,16450,3192,483.8,19080,16407360000,6.87166629103749,3.86193749530464,13.8327997283466,0.113580872962212,18.4983122996217,462.048739102452,max
base_unburned,313,168.7,6456,442.9,28410,10150,1557,326.2,12890,14575680000,7.64340875045198,2.73074969437127,6.17586145762821,0.0877606453501386,5.47928709055877,442.929592307186,max
PER_45_LOW,313,4.7325,41.87,104.8,0.12295,0.090145,31.475,0.050015,47.785,408888000,0.000330090370245395,0.00023139805559324,0.0877483351211227,0.00064616723644558,0.15269211395157,104.847337364592,median
base_unburned,313,4.9315,44.285,105.4,0.012915,0.0065695,37.74,0.038685,45.49,426081600,2.67945832954148e-05,1.30715650675814e-05,0.0917137477915735,0.000390174390533115,0.137070691083568,105.431459936468,median
PER_45_LOW,313,14.0916181783481,437.806692091299,60.7358285762006,2143.54534400723,1189.46413354306,315.456704596983,35.0634015424927,2105.201869691,1217515810.60928,0.564328688353878,0.3255180991391,1.07819269109004,0.0113094791815218,1.64160485324229,60.7380010454413,standard deviation
base_unburned,313,13.4178412678309,397.782346311215,59.8487035108096,1994.63687759174,672.769157602769,180.518748157987,23.4734121804365,982.865205563261,1159301485.54059,0.560042781951472,0.211863734810997,0.789959343318016,0.0083575179188179,0.780621495651088,59.846465458267,standard deviation
PER_45_LOW,313,33.559,685.754999999999,234.985,2520,941.984999999999,763.35,42.043,2646.4,2899497600,0.962274243179072,0.453523515285334,1.41909894317157,0.0205483337306188,3.29657506260208,234.935299171357,95% Quantile
base_unburned,313,32.4875,645.13,230.895,2520.65,813.574999999995,428.975,33.9224999999999,1464.9,2806920000,0.774532313424269,0.315008556908384,1.49756945896619,0.0148249401735648,2.3620372423599,230.880100837943,95% Quantile
PER_45_LOW,313,7.97025,88.8575,129.2,14.26,9.95525,111.075,1.10125,374.1,688629600,0.0376949177409518,0.0231263341280464,0.329427488074072,0.00376102385827115,0.635489042448154,129.202802895756,75% Quantile
base_unburned,313,7.644,82.8375,127.875,7.83075,4.04175,118.7,0.6051,327.2,660441600,0.0208685186667428,0.0105802738668659,0.335659366304681,0.00260676015298204,0.516168918868779,127.865039965869,75% Quantile
PER_45_LOW,313,1.9965,12.1375,70.8675,0,0,7.201,0.003934,1.88925,172497600,0,0,0.0108810918054116,1.00605166886988e-05,0.0062172383695855,70.8545866304094,25% Quantile
base_unburned,313,1.9545,11.6675,70.665,0,0,7.84075,0,1.97575,168868800,0,0,0.0120178369860958,0,0.00608005118073774,70.6378500287904,25% Quantile
PER_45_LOW,313,0.167375,0.262335,19.4305,0,0,0.0949995,0,0.0124585,14461200,0,0,0.00144890408710644,0,0.0001674009997746,19.4245737068723,5% Quantile
base_unburned,313,0.171355,0.2749,20.114,0,0,0.09612,0,0.012562,14805072,0,0,0.00146426449114312,0,0.000168443594424316,20.1186253126011,5% Quantile
