scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_75_HIGH,313,9.64330977459016,184.405464282787,111.347889344262,4706.95005147129,1726.83997007656,380.00633477459,38.9291218668033,1749.18829648566,833181964.52459,1.09793319386526,0.487548777703314,0.538215038241881,0.0196670821425545,1.14882358725553,111.344477691151,mean
base_unburned,313,8.17139010245902,136.005227581967,107.506352459016,403.700001447992,138.94265958459,105.215719344262,5.73147543647541,366.933314612705,706008104.852459,0.143033707561732,0.0540196680012061,0.358772501168337,0.00322164317059338,0.468438094494704,107.50483054595,mean
PER_75_HIGH,313,0.05639,0.06903,12.58,0,0,0.03066,0,0.001888,4872096,0,0,0.00060052099696303,0,0.00012776144391359,12.5755773614828,min
base_unburned,313,0.05701,0.07043,12.72,0,0,0.03133,0,0.001929,4925664,0,0,0.00062678510141993,0,0.00013003287190167,12.7185439954142,min
PER_75_HIGH,313,319.2,13790,500,852300,267000,19830,3817,161300,27578880000,31.7023044295772,12.7231212398355,17.8108127980505,0.696233147308235,12.1194019043481,500.020305393112,max
base_unburned,313,168.7,6456,442.9,28410,10150,1557,326.2,12890,14575680000,7.64340875045198,2.73074969437127,6.17586145762821,0.0877606453501386,5.47928709055877,442.929592307186,max
PER_75_HIGH,313,4.9115,43.9,104.65,0.013395,0.005856,38.555,0.041205,72.51,424353600,4.0972276520233e-05,1.49727849868188e-05,0.109578318880943,0.000706972833186795,0.190208969588948,104.643683151859,median
base_unburned,313,4.9315,44.285,105.4,0.012915,0.0065695,37.74,0.038685,45.49,426081600,2.67945832954148e-05,1.30715650675814e-05,0.0917137477915735,0.000390174390533115,0.137070691083568,105.431459936468,median
PER_75_HIGH,313,20.2116892034488,749.412105584215,66.2004481911605,44969.7890921461,14515.1334058709,1579.56205616272,217.046982756043,10422.1647993143,1746289947.17798,3.71531139576406,1.49338619357221,1.70616510635304,0.0593003402015506,1.99699744198072,66.1979298631929,standard deviation
base_unburned,313,13.4178412678309,397.782346311215,59.8487035108096,1994.63687759174,672.769157602769,180.518748157987,23.4734121804365,982.865205563261,1159301485.54059,0.560042781951472,0.211863734810997,0.789959343318016,0.0083575179188179,0.780621495651088,59.846465458267,standard deviation
PER_75_HIGH,313,35.3795,728.824999999999,238.36,9431.19999999999,4910.5,1393.45,159.64,7153.5,3056788800,6.09768085012609,3.08769610589016,1.89813353150425,0.116067606740241,5.31223825625365,238.362505212675,95% Quantile
base_unburned,313,32.4875,645.13,230.895,2520.65,813.574999999995,428.975,33.9224999999999,1464.9,2806920000,0.774532313424269,0.315008556908384,1.49756945896619,0.0148249401735648,2.3620372423599,230.880100837943,95% Quantile
PER_75_HIGH,313,9.02125,105.65,135.6,166.35,73.7075,154.45,5.28725,738.35,779436000,0.219695420191057,0.0864441405817432,0.347918062575502,0.00742116448058676,1.33251974689031,135.526366733291,75% Quantile
base_unburned,313,7.644,82.8375,127.875,7.83075,4.04175,118.7,0.6051,327.2,660441600,0.0208685186667428,0.0105802738668659,0.335659366304681,0.00260676015298204,0.516168918868779,127.865039965869,75% Quantile
PER_75_HIGH,313,1.9545,11.6675,70.9125,0,0,6.289,0,2.062,168868800,0,0,0.0112392621138961,0,0.0072289922692993,70.9177772759221,25% Quantile
base_unburned,313,1.9545,11.6675,70.665,0,0,7.84075,0,1.97575,168868800,0,0,0.0120178369860958,0,0.00608005118073774,70.6378500287904,25% Quantile
PER_75_HIGH,313,0.16477,0.254305,18.9905,0,0,0.085218,0,0.012355,14236128,0,0,0.00142936679987429,0,0.00016513517668131,18.9892881743165,5% Quantile
base_unburned,313,0.171355,0.2749,20.114,0,0,0.09612,0,0.012562,14805072,0,0,0.00146426449114312,0,0.000168443594424316,20.1186253126011,5% Quantile
