scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_60_MOD,343,4.47952656155419,14.2954267323108,20.6859611451943,5628.65414861819,1472.82963714365,74.2675106666667,41.7242866519427,7.6683978953761,387031094.918282,3.01170777305147,0.86387016369771,0.188488557702193,0.055648825646126,0.00290511949058972,21.522310835383,mean
base_unburned,343,3.87721617177914,11.4502526392638,20.3168302658487,101.899000166605,35.7053491089507,4.96091627811861,3.84960237832311,0.17381683575523,334991477.241718,0.0920210428871165,0.0326012013193901,0.0205566006967823,0.00521589473094637,0.000130974631072327,21.0929710370414,mean
PER_60_MOD,343,0,0,0,0,0,0,0,0,0,0,0,0.00088815214405234,0,1.00874354035764e-17,1.13205411218656,min
base_unburned,343,0,0,0,0,0,0,0,0,0,0,0,0.0008871336996337,0,5.54767054158782e-18,1.37061403508772,min
PER_60_MOD,343,126.6,551,118.5,1730000,384800,2613,6835,2486,10938240000,158.160727868469,35.1793341524779,6.78983714698,2.36064217993316,0.227276051723129,118.473887834216,max
base_unburned,343,73.34,257.3,124.4,6569,2174,38.58,150.6,12.56,6336576000,1.91251421377518,0.708362099306909,0.200688389043026,0.0330918435869621,0.00210214631592723,124.370532813515,max
PER_60_MOD,343,2.458,4.415,20.54,1.901,0.7073,16.72,0.104,0.00173,212371200,0.020763052293179,0.00687217112170023,0.070055914933198,0.00486853834317771,2.43300217277205e-05,21.5193374294877,median
base_unburned,343,2.347,4.08,20.13,0,4.225e-05,1.789,0.03711,2.416e-11,202780800,5.58159085884502e-06,4.20925837193207e-06,0.00837758228985048,0.00124958836058912,8.95570789686041e-12,20.7084933395226,median
PER_60_MOD,343,8.3947278166036,36.6481582290401,13.7301641849476,78636.0495391348,17645.2392045791,189.319957399302,321.040286329816,112.943019743122,725304483.354551,11.8397598759655,2.92399181233212,0.459697599382239,0.210367145149091,0.012513411482553,13.3456865892319,standard deviation
base_unburned,343,5.92469239337779,23.9741816166412,13.215855464154,402.274920394543,138.377888818445,7.2231477476793,11.9136010000924,0.750794410310308,511893422.787841,0.210299829012639,0.0760801463014069,0.0258018774094749,0.0075595567011447,0.000324101898216987,12.8418141737792,standard deviation
PER_60_MOD,343,17.442,68.2659999999999,44.956,11814,3976.79999999998,410.24,190.44,14.462,1506988800,16.4458388546631,4.68279482986817,0.866987950591107,0.252036649310248,0.0138501177240598,45.1946207106289,95% Quantile
base_unburned,343,14.932,55.7259999999999,42.96,627.099999999998,208.94,21.392,25.0399999999999,1.2304,1290124800,0.504823970489284,0.180235947048312,0.0688063509874497,0.0220196493186912,0.000951888333771815,43.2367130820214,95% Quantile
PER_60_MOD,343,4.57,10.51,26.48,265.2,91.49,48.55,7.821,0.3308,394848000,0.76869873185948,0.291423557612356,0.141819752060241,0.0223756148519414,0.00118545583186611,26.8199522421757,75% Quantile
base_unburned,343,4.556,10.47,26.44,11.5,4.051,6.351,0.7388,0.005775,393638400,0.0437177171705092,0.0152625242644435,0.0321893560362333,0.00752595269671106,2.79108077323145e-05,26.7013225371649,75% Quantile
PER_60_MOD,343,0.4333,0.3781,10.1,0,0,0.1083,0.02476,1.054e-13,37437120,0,1.76687108930824e-06,0.0108271245135706,0.000492559385687183,1.13843083503849e-13,12.1841041168252,25% Quantile
base_unburned,343,0.4501,0.4083,9.981,0,0,0.08974,0.009041,1.59e-14,38888640,0,0,0.00277200890719238,7.50409785118358e-05,9.4243129146602e-16,11.4391145471362,25% Quantile
PER_60_MOD,343,0.0062272,0.001111,2.201,0,0,0.031922,0,4.508e-15,538030.08,0,0,0.00129964952319616,0,1.22752408675638e-16,3.88249143080891,5% Quantile
base_unburned,343,0.0069798,0.0015214,2.6748,0,0,0.030802,0,2.7588e-15,603054.72,0,0,0.00118266178601496,0,2.59441242837026e-17,4.25421632221633,5% Quantile
