scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_75_HIGH,343,5.17281321267894,29.1760074382413,30.6260163599182,6252.1690099465,1779.27310605625,118.030247566462,60.6362881390593,9.56044647180217,446931061.57546,4.81498003964916,1.22251130943787,0.276642981382541,0.0833519288296244,0.0064134353960649,31.9997451814809,mean
base_unburned,343,3.87721617177914,11.4502526392638,20.3168302658487,101.899000166605,35.7053491089507,4.96091627811861,3.84960237832311,0.17381683575523,334991477.241718,0.0920210428871165,0.0326012013193901,0.0205566006967823,0.00521589473094637,0.000130974631072327,21.0929710370414,mean
PER_75_HIGH,343,0,0,0,0,0,0,0,0,0,0,0,0.00098909714119019,0,4.85018695517501e-18,1.3996170858916,min
base_unburned,343,0,0,0,0,0,0,0,0,0,0,0,0.0008871336996337,0,5.54767054158782e-18,1.37061403508772,min
PER_75_HIGH,343,173.4,2069,215.2,977500,262400,3695,4431,1436,14981760000,114.432011516817,21.1928549803209,9.35300565362871,3.07714958775029,0.144534009486326,215.256637916455,max
base_unburned,343,73.34,257.3,124.4,6569,2174,38.58,150.6,12.56,6336576000,1.91251421377518,0.708362099306909,0.200688389043026,0.0330918435869621,0.00210214631592723,124.370532813515,max
PER_75_HIGH,343,2.682,5.234,21.8,0.004775,0.001691,19.46,0.04469,2.366e-08,231724800,0.00022196382802196,7.33184870337093e-05,0.0858484821021274,0.00526604989749245,1.01950423750492e-08,22.4467937586936,median
base_unburned,343,2.347,4.08,20.13,0,4.225e-05,1.789,0.03711,2.416e-11,202780800,5.58159085884502e-06,4.20925837193207e-06,0.00837758228985048,0.00124958836058912,8.95570789686041e-12,20.7084933395226,median
PER_75_HIGH,343,11.1568432244059,121.767629206519,33.6603189896254,46414.5858162184,12712.7099694539,319.427271565964,240.195319553716,68.7050821311273,963951254.588667,14.1346345880213,3.05215407666465,0.774109462652691,0.284065476654549,0.0179724250783777,33.7606729165859,standard deviation
base_unburned,343,5.92469239337779,23.9741816166412,13.215855464154,402.274920394543,138.377888818445,7.2231477476793,11.9136010000924,0.750794410310308,511893422.787841,0.210299829012639,0.0760801463014069,0.0258018774094749,0.0075595567011447,0.000324101898216987,12.8418141737792,standard deviation
PER_75_HIGH,343,19.992,122.08,107.38,29013.9999999999,7327.4,591.919999999998,367.319999999999,46.196,1727308800,27.3894021794284,7.09357865729262,1.32329503984665,0.305510955895183,0.035748383892788,110.126609885593,95% Quantile
base_unburned,343,14.932,55.7259999999999,42.96,627.099999999998,208.94,21.392,25.0399999999999,1.2304,1290124800,0.504823970489284,0.180235947048312,0.0688063509874497,0.0220196493186912,0.000951888333771815,43.2367130820214,95% Quantile
PER_75_HIGH,343,4.892,15.27,31.94,1104,306.9,72.82,26.45,1.065,422668800,2.8028030885533,0.8440695020078,0.160412808516727,0.050801990851108,0.00311952609728495,33.5378872875105,75% Quantile
base_unburned,343,4.556,10.47,26.44,11.5,4.051,6.351,0.7388,0.005775,393638400,0.0437177171705092,0.0152625242644435,0.0321893560362333,0.00752595269671106,2.79108077323145e-05,26.7013225371649,75% Quantile
PER_75_HIGH,343,0.4107,0.3495,9.909,0,0,0.1318,0.01737,1.572e-14,35484480,0,0,0.0157006392709566,0.00017221992074313,8.96337195148277e-16,12.4246707267512,25% Quantile
base_unburned,343,0.4501,0.4083,9.981,0,0,0.08974,0.009041,1.59e-14,38888640,0,0,0.00277200890719238,7.50409785118358e-05,9.4243129146602e-16,11.4391145471362,25% Quantile
PER_75_HIGH,343,0.004567,0.00099298,2.0026,0,0,0.032766,0,1.5248e-15,394588.8,0,0,0.00174130989475289,0,1.64262149060469e-17,3.5257394968703,5% Quantile
base_unburned,343,0.0069798,0.0015214,2.6748,0,0,0.030802,0,2.7588e-15,603054.72,0,0,0.00118266178601496,0,2.59441242837026e-17,4.25421632221633,5% Quantile
