scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
HRU_SLP_0.1_fire,313,0.000674233605316973,2.11656441717791e-09,0.00141020466666667,6.13713312883436e-08,2.15554192229039e-07,6.65148614110429e-06,2.27604773006135e-07,7.03110738797483e-13,58253.7834993865,2.03862896433507e-05,5.64879543052243e-05,0.000194139386253076,8.94455307971283e-05,5.51547902279471e-10,0.00199915061185134,mean
HRU_SLP_0.1_nofire,313,0.000674233605316973,2.11656441717791e-09,0.00141020466666667,6.13713312883436e-08,2.15554192229039e-07,6.65148614110429e-06,2.27604773006135e-07,7.03110738797483e-13,58253.7834993865,2.03862896433507e-05,5.64879543052243e-05,0.000194139386253076,8.94455307971283e-05,5.51547902279471e-10,0.00199915061185134,mean
HRU_SLP_0.1_fire,313,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58567425508215e-21,3.26336675020886e-06,min
HRU_SLP_0.1_nofire,313,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58567425508215e-21,3.26336675020886e-06,min
HRU_SLP_0.1_fire,313,0.01064,3e-09,0.1422,1.472e-07,4.486e-07,0.0005143,1.184e-05,3.433e-10,919296,0.00021115706597568,0.00058043393203847,0.010280983186176,0.00653179394838117,1.89388924195883e-07,0.142245891938641,max
HRU_SLP_0.1_nofire,313,0.01064,3e-09,0.1422,1.472e-07,4.486e-07,0.0005143,1.184e-05,3.433e-10,919296,0.00021115706597568,0.00058043393203847,0.010280983186176,0.00653179394838117,1.89388924195883e-07,0.142245891938641,max
HRU_SLP_0.1_fire,313,7.711e-05,3e-09,4.024e-05,6.029e-08,2.534e-07,8.136e-08,2.185e-07,1.053e-18,6662.304,4.50046526222395e-06,1.27076665142509e-05,6.06780427897356e-06,1.44222396377569e-05,4.16483413964522e-16,0.00011179079917006,median
HRU_SLP_0.1_nofire,313,7.711e-05,3e-09,4.024e-05,6.029e-08,2.534e-07,8.136e-08,2.185e-07,1.053e-18,6662.304,4.50046526222395e-06,1.27076665142509e-05,6.06780427897356e-06,1.44222396377569e-05,4.16483413964522e-16,0.00011179079917006,median
HRU_SLP_0.1_fire,313,0.00144091378287726,1.36882430423426e-09,0.00758492683406574,5.97729319451568e-08,1.77726406921796e-07,4.30409679743053e-05,5.6095010322362e-07,1.55245163546943e-11,124494.950840595,3.47309755047312e-05,9.58033520413951e-05,0.00111678267715235,0.000368199966986439,1.01962405888812e-08,0.00897101812050159,standard deviation
HRU_SLP_0.1_nofire,313,0.00144091378287726,1.36882430423426e-09,0.00758492683406574,5.97729319451568e-08,1.77726406921796e-07,4.30409679743053e-05,5.6095010322362e-07,1.55245163546943e-11,124494.950840595,3.47309755047312e-05,9.58033520413951e-05,0.00111678267715235,0.000368199966986439,1.01962405888812e-08,0.00897101812050159,standard deviation
HRU_SLP_0.1_fire,313,0.00344779999999999,3e-09,0.00452879999999999,1.4192e-07,4.3762e-07,1.513e-07,4.5196e-07,5.56979999999999e-15,297889.919999999,0.00010389465881966,0.000287951778032618,0.000199991101547608,0.000361218956503222,6.47971672801114e-12,0.00801742379268797,95% Quantile
HRU_SLP_0.1_nofire,313,0.00344779999999999,3e-09,0.00452879999999999,1.4192e-07,4.3762e-07,1.513e-07,4.5196e-07,5.56979999999999e-15,297889.919999999,0.00010389465881966,0.000287951778032618,0.000199991101547608,0.000361218956503222,6.47971672801114e-12,0.00801742379268797,95% Quantile
HRU_SLP_0.1_fire,313,0.0006465,3e-09,0.0002644,1.275e-07,3.87e-07,1.414e-07,4.166e-07,3.898e-17,55857.6,1.69718398885066e-05,4.65583798917132e-05,3.55018501774831e-05,5.96432888099555e-05,4.52291477172994e-14,0.00072112611053421,75% Quantile
HRU_SLP_0.1_nofire,313,0.0006465,3e-09,0.0002644,1.275e-07,3.87e-07,1.414e-07,4.166e-07,3.898e-17,55857.6,1.69718398885066e-05,4.65583798917132e-05,3.55018501774831e-05,5.96432888099555e-05,4.52291477172994e-14,0.00072112611053421,75% Quantile
HRU_SLP_0.1_fire,313,0,0,0,0,0,0,0,0,0,1.51701119724376e-06,4.47829274947139e-06,1.80291557203936e-06,4.70176571920758e-06,6.08591451614707e-18,3.20611470195958e-05,25% Quantile
HRU_SLP_0.1_nofire,313,0,0,0,0,0,0,0,0,0,1.51701119724376e-06,4.47829274947139e-06,1.80291557203936e-06,4.70176571920758e-06,6.08591451614707e-18,3.20611470195958e-05,25% Quantile
HRU_SLP_0.1_fire,313,0,0,0,0,0,0,0,0,0,0,1.22331844873352e-06,0,0,4.69264112832953e-20,8.32190726826742e-06,5% Quantile
HRU_SLP_0.1_nofire,313,0,0,0,0,0,0,0,0,0,0,1.22331844873352e-06,0,0,4.69264112832953e-20,8.32190726826742e-06,5% Quantile
