scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
HRU_SLP_neg_0.1_fire,313,0.000570755444171779,2.07361963190184e-09,0.0011519568404908,6.22357300613497e-08,2.11559372188139e-07,3.66205050511247e-06,2.3599036400818e-07,1.13852508965787e-12,49313.2703764417,2.04691150883381e-05,5.6686194506262e-05,0.000130764194079582,9.37384435567922e-05,8.92729542232742e-10,0.00166662985021303,mean
HRU_SLP_neg_0.1_nofire,313,0.000570755444171779,2.07361963190184e-09,0.0011519568404908,6.22357300613497e-08,2.11559372188139e-07,3.66205050511247e-06,2.3599036400818e-07,1.13852508965787e-12,49313.2703764417,2.04691150883381e-05,5.6686194506262e-05,0.000130764194079582,9.37384435567922e-05,8.92729542232742e-10,0.00166662985021303,mean
HRU_SLP_neg_0.1_fire,313,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18493974425055e-21,3.83501460373561e-06,min
HRU_SLP_neg_0.1_nofire,313,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18493974425055e-21,3.83501460373561e-06,min
HRU_SLP_neg_0.1_fire,313,0.009054,3e-09,0.1075,1.475e-07,4.485e-07,0.0002817,1.433e-05,5.562e-10,782265.6,0.00025025825467227,0.00068798807763751,0.00696223930528863,0.00775755292242664,3.01099158091674e-07,0.107465868840056,max
HRU_SLP_neg_0.1_nofire,313,0.009054,3e-09,0.1075,1.475e-07,4.485e-07,0.0002817,1.433e-05,5.562e-10,782265.6,0.00025025825467227,0.00068798807763751,0.00696223930528863,0.00775755292242664,3.01099158091674e-07,0.107465868840056,max
HRU_SLP_neg_0.1_fire,313,6.098e-05,3e-09,4.292e-05,5.95e-08,2.448e-07,7.778e-08,2.174e-07,1.33e-18,5268.672,4.87938619390402e-06,1.38802515201769e-05,6.28243316393555e-06,1.61189196788445e-05,6.53243064332618e-16,0.00012857258451106,median
HRU_SLP_neg_0.1_nofire,313,6.098e-05,3e-09,4.292e-05,5.95e-08,2.448e-07,7.778e-08,2.174e-07,1.33e-18,5268.672,4.87938619390402e-06,1.38802515201769e-05,6.28243316393555e-06,1.61189196788445e-05,6.53243064332618e-16,0.00012857258451106,median
HRU_SLP_neg_0.1_fire,313,0.00122510698693004,1.38740654186172e-09,0.00691002474533795,5.92757063755155e-08,1.75616004767506e-07,2.51185661298205e-05,6.67166448323478e-07,2.51521854323579e-11,105849.243670755,3.42052192641326e-05,9.43483548394453e-05,0.000755310394370537,0.000434676622999659,1.63775382386921e-08,0.00826271947578894,standard deviation
HRU_SLP_neg_0.1_nofire,313,0.00122510698693004,1.38740654186172e-09,0.00691002474533795,5.92757063755155e-08,1.75616004767506e-07,2.51185661298205e-05,6.67166448323478e-07,2.51521854323579e-11,105849.243670755,3.42052192641326e-05,9.43483548394453e-05,0.000755310394370537,0.000434676622999659,1.63775382386921e-08,0.00826271947578894,standard deviation
HRU_SLP_neg_0.1_fire,313,0.00292419999999999,3e-09,0.00357059999999999,1.4168e-07,4.366e-07,1.513e-07,4.516e-07,4.65899999999999e-15,252650.88,9.72602382535685e-05,0.000269034290115993,0.000134178761895705,0.000340061875459505,5.12856257572413e-12,0.00638020945903452,95% Quantile
HRU_SLP_neg_0.1_nofire,313,0.00292419999999999,3e-09,0.00357059999999999,1.4168e-07,4.366e-07,1.513e-07,4.516e-07,4.65899999999999e-15,252650.88,9.72602382535685e-05,0.000269034290115993,0.000134178761895705,0.000340061875459505,5.12856257572413e-12,0.00638020945903452,95% Quantile
HRU_SLP_neg_0.1_fire,313,0.0005507,3e-09,0.0002923,1.27e-07,3.796e-07,1.405e-07,4.158e-07,5.046e-17,47580.48,1.85883339636204e-05,4.99002109027489e-05,3.30371908360743e-05,6.64881529943367e-05,5.30212387412921e-14,0.000821028560159535,75% Quantile
HRU_SLP_neg_0.1_nofire,313,0.0005507,3e-09,0.0002923,1.27e-07,3.796e-07,1.405e-07,4.158e-07,5.046e-17,47580.48,1.85883339636204e-05,4.99002109027489e-05,3.30371908360743e-05,6.64881529943367e-05,5.30212387412921e-14,0.000821028560159535,75% Quantile
HRU_SLP_neg_0.1_fire,313,0,0,0,0,0,0,0,0,0,1.75066655453524e-06,5.16880056339366e-06,1.96931259299316e-06,5.45041291831482e-06,1.09889778861818e-17,3.79560857054393e-05,25% Quantile
HRU_SLP_neg_0.1_nofire,313,0,0,0,0,0,0,0,0,0,1.75066655453524e-06,5.16880056339366e-06,1.96931259299316e-06,5.45041291831482e-06,1.09889778861818e-17,3.79560857054393e-05,25% Quantile
HRU_SLP_neg_0.1_fire,313,0,0,0,0,0,0,0,0,0,0,1.42024768996542e-06,0,0,9.02125295769531e-20,9.70650518187948e-06,5% Quantile
HRU_SLP_neg_0.1_nofire,313,0,0,0,0,0,0,0,0,0,0,1.42024768996542e-06,0,0,9.02125295769531e-20,9.70650518187948e-06,5% Quantile
