scenario,subbasin,flow,sed,sed_con,org_n,org_p,nitrate,othop,doc,flow_L,org_n_mgL,org_p_mgL,nitrate_mgL,othop_mgL,doc_mgL,sed_conc_check,metric
PER_20_HIGH,343,4.26377890531697,13.3389140309816,20.7402126789366,2151.00693860072,606.756559274226,38.1754086912065,25.1796663353783,3.33562159594495,368390497.419387,2.86083860447163,0.676922692526312,0.148593664799659,0.0627413731361058,0.00358748925753097,21.4872808601945,mean
base_unburned,343,3.87721617177914,11.4502526392638,20.3168302658487,101.899000166605,35.7053491089507,4.96091627811861,3.84960237832311,0.17381683575523,334991477.241718,0.0920210428871165,0.0326012013193901,0.0205566006967823,0.00521589473094637,0.000130974631072327,21.0929710370414,mean
PER_20_HIGH,343,0,0,0,0,0,0,0,0,0,0,0,0.00093641749573154,0,6.03414984000883e-18,1.02272920845417,min
base_unburned,343,0,0,0,0,0,0,0,0,0,0,0,0.0008871336996337,0,5.54767054158782e-18,1.37061403508772,min
PER_20_HIGH,343,103,415.2,122.5,357200,96320,923.6,1917,587.2,8899200000,103.03164006548,19.0956235932065,4.91008690006048,3.28836275084875,0.123628367609331,122.549019607843,max
base_unburned,343,73.34,257.3,124.4,6569,2174,38.58,150.6,12.56,6336576000,1.91251421377518,0.708362099306909,0.200688389043026,0.0330918435869621,0.00210214631592723,124.370532813515,max
PER_20_HIGH,343,2.494,4.371,20.71,0.005414,0.001528,9.072,0.04605,5.945e-08,215481600,0.000141443948486415,4.84276956523423e-05,0.0384468820862209,0.00297197538697796,9.02451799317155e-09,21.1550643645901,median
base_unburned,343,2.347,4.08,20.13,0,4.225e-05,1.789,0.03711,2.416e-11,202780800,5.58159085884502e-06,4.20925837193207e-06,0.00837758228985048,0.00124958836058912,8.95570789686041e-12,20.7084933395226,median
PER_20_HIGH,343,7.28500801621149,31.483672004363,13.6174554804505,16717.6041828299,4561.89018923818,85.6488938698273,102.34734667335,27.489025928932,629424692.600673,10.6115516270347,2.12167519303333,0.441250927445629,0.277400217094125,0.0124684170606263,13.2691212178254,standard deviation
base_unburned,343,5.92469239337779,23.9741816166412,13.215855464154,402.274920394543,138.377888818445,7.2231477476793,11.9136010000924,0.750794410310308,511893422.787841,0.210299829012639,0.0760801463014069,0.0258018774094749,0.0075595567011447,0.000324101898216987,12.8418141737792,standard deviation
PER_20_HIGH,343,16.596,62.748,44.674,10336,2612.8,184.68,152.94,14.296,1433894400,14.0592032084651,3.52660864643254,0.640082004550224,0.195038743466735,0.0170276394873565,45.0197487547032,95% Quantile
base_unburned,343,14.932,55.7259999999999,42.96,627.099999999998,208.94,21.392,25.0399999999999,1.2304,1290124800,0.504823970489284,0.180235947048312,0.0688063509874497,0.0220196493186912,0.000951888333771815,43.2367130820214,95% Quantile
PER_20_HIGH,343,4.647,10.72,26.54,360,104.3,30.81,10.39,0.3672,401500800,1.0398961215564,0.309383866327407,0.0866828195409654,0.0260654768433713,0.00114036668455246,26.8608144812813,75% Quantile
base_unburned,343,4.556,10.47,26.44,11.5,4.051,6.351,0.7388,0.005775,393638400,0.0437177171705092,0.0152625242644435,0.0321893560362333,0.00752595269671106,2.79108077323145e-05,26.7013225371649,75% Quantile
PER_20_HIGH,343,0.4485,0.4066,10.14,0,0,0.1213,0.01873,1.618e-14,38750400,0,0,0.00860030340694661,0.000151656209759215,1.00593859665142e-15,12.2265724739801,25% Quantile
base_unburned,343,0.4501,0.4083,9.981,0,0,0.08974,0.009041,1.59e-14,38888640,0,0,0.00277200890719238,7.50409785118358e-05,9.4243129146602e-16,11.4391145471362,25% Quantile
PER_20_HIGH,343,0.00884900000000001,0.0020328,2.681,0,0,0.033472,0,3.1668e-15,764553.600000001,0,0,0.00142312313424422,0,3.5900162457179e-17,3.9718536666276,5% Quantile
base_unburned,343,0.0069798,0.0015214,2.6748,0,0,0.030802,0,2.7588e-15,603054.72,0,0,0.00118266178601496,0,2.59441242837026e-17,4.25421632221633,5% Quantile
